Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C45, C46, C47",0402,4,1uF,
"C10, C11, C4",0603,3,10uF,
"C12, C13, C14",0805,3,22uF,
"C15, C17, C20, C21, C22, C40, C41, C42, C43, C44, C49, C7",0201,12,100nF,
C16,0603,1,2.2uF,
"C18, C19",0402,2,22uF,
"C2, C48, C6",0402,3,10uF,
C3,0805,1,44uF,
"C35, C36",0201,2,20pF,
"C37, C38",0201,2,6.8pF,
C39,0201,1,2.2uF,
C5,0201,1,47nF,
"C8, C9",0805,2,10uF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
D1,0402,1,LED,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
"J2, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
L1,L2520,1,1uH,
L2,IND-SMD_L4.0-W4.0-A,1,1.5uH,
L3,IND-SMD_L3.0-W3.0,1,5.6uH,
L4,L0603,1,FCM1608KF-601T03,
"R1, R2",0201,2,5.1K,
"R10, R11, R12, R13, R17, R18, R19, R20, R21, R22, R23, R3, R6, R8, R9",0201,15,10K,
R14,0402,1,100K,
R15,0201,1,22.1K,
R4,0201,1,5.23K,
R5,0201,1,30.1K,
R7,0201,1,383,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
U2,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U4,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U5,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322
U6,SOT-23-6,1,LMR51430,
U7,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,OSC-SMD_L3.2-W1.5,1,X321532768KGD2SI,C620155
