"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C14,C17,C18,C12,C15,C13,C16,C2,C19,C10";"C_0402_1005Metric";10;"100n";;;
2;"R14,R10,R13,R15,R12,R11";"R_0402_1005Metric";6;"10k";;;
3;"R21,R17,R16";"R_0402_1005Metric";3;"22";;;
4;"H1,H2,H3,H4";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole";;;
5;"C20";"C_0402_1005Metric";1;"4.7u";;;
6;"C8";"C_0402_1005Metric";1;"2.2u";;;
7;"C4,C3";"C_0603_1608Metric";2;"22u";;;
8;"U2";"TSOT-23-6";1;"AP63205WU";;;
9;"L1";"L_Vishay_IFSC-1515AH_4x4x1.8mm";1;"CSME0418D-4R7M-LRH";;;
10;"R5,R6,R2,R3,R1,R4";"R_0402_1005Metric";6;"470";;;
11;"U5";"SOT-23-5";1;"XC6220B331MR";;;
12;"R8,R9";"R_0402_1005Metric";2;"5.1k";;;
13;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
14;"U3,U1";"DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm";2;"ESD1014";;;
15;"D2";"LED_0603_1608Metric";1;"Green";;;
16;"J2";"7xServo_Vertical";1;"Outputs";;;
17;"R19";"R_0402_1005Metric";1;"47";;;
18;"C9,C5,C1";"C_0603_1608Metric";3;"10u";;;
19;"C11";"C_0402_1005Metric";1;"1u";;;
20;"R18";"R_0402_1005Metric";1;"75";;;
21;"U8";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"SPL06-001";;;
22;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
23;"D3";"LED_0603_1608Metric";1;"Red";;;
24;"J3";"JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical";1;"A";;;
25;"D1";"D_SOD-123";1;"B5819W_C8598";;;
26;"U9";"WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm";1;"W25N01G";;;
27;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
28;"R7";"R_0402_1005Metric";1;"22r";;;
29;"Y1";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm";1;"8MHz";;;
30;"U6";"LQFP-64_10x10mm_P0.5mm";1;"STM32F722RETx";;;
